ID,Name,Types,Attack,Defense,Stamina,Fast Moves,Charge Moves
1,Bulbasaur,"Grass, Poison",118,111,128,"Tackle, Vine Whip","Power Whip, Seed Bomb, Sludge Bomb, Frustration (Shadow), Return (Purified)"
2,Ivysaur,"Grass, Poison",151,143,155,"Razor Leaf, Vine Whip","Power Whip, Sludge Bomb, Solar Beam, Frustration (Shadow), Return (Purified)"
3,Venusaur,"Grass, Poison",198,189,190,"Razor Leaf, Vine Whip","Petal Blizzard, Sludge, Sludge Bomb, Solar Beam, Frenzy Plant (Community Day), Frustration (Shadow), Return (Purified)"
3,Mega Venusaur,"Grass, Poison",241,246,190,,
4,Charmander,Fire,116,93,118,"Ember, Scratch","Flame Burst, Flame Charge, Flamethrower, Frustration (Shadow), Return (Purified)"
5,Charmeleon,Fire,158,126,151,"Ember, Fire Fang, Scratch (legacy)","Fire Punch, Flame Burst, Flamethrower, Frustration (Shadow), Return (Purified)"
6,Charizard,"Fire, Flying",223,173,186,"Air Slash, Fire Spin, Ember (legacy), Wing Attack (legacy), Dragon Breath (Community Day)","Air Cutter, Dragon Claw, Fire Blast, Overheat, Flamethrower (legacy), Blast Burn (Community Day), Frustration (Shadow), Return (Purified)"
6,Mega Charizard X,"Fire, Dragon",273,213,186,,
6,Mega Charizard Y,"Fire, Flying",319,212,186,,
7,Squirtle,Water,94,121,127,"Bubble, Tackle","Aqua Jet, Aqua Tail, Water Pulse, Frustration (Shadow), Return (Purified)"
8,Wartortle,Water,126,155,153,"Bite, Water Gun","Aqua Jet, Hydro Pump, Ice Beam, Frustration (Shadow), Return (Purified)"
9,Blastoise,Water,171,207,188,"Bite, Rollout, Water Gun","Flash Cannon, Hydro Pump, Ice Beam, Skull Bash, Hydro Cannon (Community Day), Frustration (Shadow), Return (Purified)"
9,Mega Blastoise,Water,264,237,188,,
10,Caterpie,Bug,55,55,128,"Bug Bite, Tackle","Struggle, Frustration (Shadow), Return (Purified)"
11,Metapod,Bug,45,80,137,"Bug Bite, Tackle","Struggle, Frustration (Shadow), Return (Purified)"
12,Butterfree,"Bug, Flying",167,137,155,"Confusion, Struggle Bug, Bug Bite (legacy)","Bug Buzz, Psychic, Signal Beam, Frustration (Shadow), Return (Purified)"
13,Weedle,"Bug, Poison",63,50,120,"Bug Bite, Poison Sting","Struggle, Frustration (Shadow), Return (Purified)"
14,Kakuna,"Bug, Poison",46,75,128,"Bug Bite, Poison Sting","Struggle, Frustration (Shadow), Return (Purified)"
15,Beedrill,"Bug, Poison",169,130,163,"Infestation, Poison Jab, Poison Sting, Bug Bite (legacy)","Aerial Ace, Fell Stinger, Sludge Bomb, X-Scissor, Drill Run (Community Day), Frustration (Shadow), Return (Purified)"
15,Mega Beedrill,"Bug, Poison",303,148,163,,
16,Pidgey,"Normal, Flying",85,73,120,"Quick Attack, Tackle","Aerial Ace, Air Cutter, Twister, Frustration (Shadow), Return (Purified)"
17,Pidgeotto,"Normal, Flying",117,105,160,"Steel Wing, Wing Attack","Aerial Ace, Air Cutter, Twister, Frustration (Shadow), Return (Purified)"
18,Pidgeot,"Normal, Flying",166,154,195,"Air Slash, Steel Wing, Gust (legacy), Wing Attack (legacy)","Aerial Ace, Brave Bird, Feather Dance, Hurricane, Air Cutter (legacy), Frustration (Shadow), Return (Purified)"
18,Mega Pidgeot,"Normal, Flying",280,175,195,,
19,Rattata,Normal,103,70,102,"Quick Attack, Tackle","Body Slam, Dig, Hyper Fang, Frustration (Shadow), Return (Purified)"
19,Alolan Rattata,"Dark, Normal",103,70,102,"Quick Attack, Tackle","Crunch, Hyper Fang, Shadow Ball, Frustration (Shadow), Return (Purified)"
