ID,Name,Types
0479,Rotom,"Electric, Flying"
0489,Phione,Water
0490,Manaphy,Water
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0493,Arceus,Normal
0555,Darmanitan,"Fire, Psychic"
0555,Darmanitan,"Ice, Fire"
0648,Meloetta,"Normal, Fighting"
0666,Vivillon,"Bug, Flying"
0666,Vivillon,"Bug, Flying"
0746,Wishiwashi,Water
0746,Wishiwashi,Water
0771,Pyukumuku,Water
0772,Type: Null,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0773,Silvally,Normal
0774,Minior,"Rock, Flying"
0774,Minior,"Rock, Flying"
0778,Mimikyu,"Ghost, Fairy"
0800,Necrozma,"Psychic, Dragon"
0801,Magearna,"Steel, Fairy"
0807,Zeraora,Electric
0824,Blipbug,Bug
0825,Dottler,"Bug, Psychic"
0826,Orbeetle,"Bug, Psychic"
0833,Chewtle,Water
0834,Drednaw,"Water, Rock"
0837,Rolycoly,Rock
0838,Carkol,"Rock, Fire"
0839,Coalossal,"Rock, Fire"
0843,Silicobra,Ground
0844,Sandaconda,Ground
0845,Cramorant,"Flying, Water"
0846,Arrokuda,Water
0847,Barraskewda,Water
0852,Clobbopus,Fighting
0853,Grapploct,Fighting
0868,Milcery,Fairy
0869,Alcremie,Fairy
0871,Pincurchin,Electric
0875,Eiscue,Ice
0875,Eiscue,Ice
0878,Cufant,Steel
0879,Copperajah,Steel
0880,Dracozolt,"Electric, Dragon"
0881,Arctozolt,"Electric, Ice"
0882,Dracovish,"Water, Dragon"
0883,Arctovish,"Water, Ice"
0896,Glastrier,Ice
0897,Spectrier,Ghost
0898,Calyrex,"Psychic, Grass"
0898,Calyrex,"Psychic, Ice"
0898,Calyrex,"Psychic, Ghost"
0905,Enamorus,"Fairy, Flying"
0931,Squawkabilly,"Normal, Flying"
0931,Squawkabilly,"Normal, Flying"
0931,Squawkabilly,"Normal, Flying"
0931,Squawkabilly,"Normal, Flying"
0940,Wattrel,"Electric, Flying"
0941,Kilowattrel,"Electric, Flying"
0942,Maschiff,Dark
0943,Mabosstiff,Dark
0946,Bramblin,"Grass, Ghost"
0947,Brambleghast,"Grass, Ghost"
0950,Klawf,Rock
0951,Capsakid,Grass
0952,Scovillain,"Grass, Fire"
0953,Rellor,Bug
0954,Rabsca,"Bug, Psychic"
0955,Flittle,Psychic
0956,Espathra,Psychic
0963,Finizen,Water
0964,Palafin,Water
0964,Palafin,Water
0967,Cyclizar,"Dragon, Normal"
0968,Orthworm,Steel
0969,Glimmet,"Rock, Poison"
0970,Glimmora,"Rock, Poison"
0973,Flamigo,"Flying, Fighting"
0976,Veluza,"Water, Psychic"
0981,Farigiraf,"Normal, Psychic"
0984,Great Tusk,"Ground, Fighting"
0985,Scream Tail,"Fairy, Psychic"
0986,Brute Bonnet,"Grass, Dark"
0987,Flutter Mane,"Ghost, Fairy"
0988,Slither Wing,"Bug, Fighting"
0989,Sandy Shocks,"Electric, Ground"
0990,Iron Treads,"Ground, Steel"
0991,Iron Bundle,"Ice, Water"
0992,Iron Hands,"Fighting, Electric"
0993,Iron Jugulis,"Dark, Flying"
0994,Iron Moth,"Fire, Poison"
0995,Iron Thorns,"Rock, Electric"
1001,Wo-Chien,"Dark, Grass"
1002,Chien-Pao,"Dark, Ice"
1003,Ting-Lu,"Dark, Ground"
1004,Chi-Yu,"Dark, Fire"
1005,Roaring Moon,"Dragon, Dark"
1006,Iron Valiant,"Fairy, Fighting"
1007,Koraidon,"Fighting, Dragon"
1008,Miraidon,"Electric, Dragon"
1009,Walking Wake,"Water, Dragon"
1010,Iron Leaves,"Grass, Psychic"
1014,Okidogi,"Poison, Fighting"
1015,Munkidori,"Poison, Psychic"
1016,Fezandipiti,"Poison, Fairy"
1017,Ogerpon,Grass
1018,Archaludon,"Steel, Dragon"
1020,Gouging Fire,"Fire, Dragon"
1021,Raging Bolt,"Electric, Dragon"
1022,Iron Boulder,"Rock, Psychic"
1023,Iron Crown,"Steel, Psychic"
1024,Terapagos,Normal
1025,Pecharunt,"Poison, Ghost"
